SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
4181,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,01-12-2005 09:15,463,Clear,odour free,"",26.5,""
4182,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,20-12-2010 08:45,665,Clear,odour free,"",24,""
4183,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,03-01-2011 09:00,660,Clear,odour free,"",22,""
4184,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,21-12-2017 08:00,440,Clear,Odour free,"",26,""
4185,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,07-02-2018 08:00,497,Clear,Odour free,"",24,""
4186,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,25-10-2018 08:00,368,Clear,Odour free,"",28,""
4187,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,01-11-2018 08:00,375,Clear,Odour free,"",29,""
4188,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,01-12-2018 14:57,409,Clear,Odour free,"",27.5,""
4189,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,11-09-2019 08:00,297,Clear,odour free,"",28.5,""
4190,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,01-10-2019 08:00,257,Clear,odour free,"",26.5,""
4191,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,05-10-2020 08:00,505.6,Brown and Muddy,No Odour,5.2,28.5,""
4192,Singavaram,CWC,28,Andhra Pradesh,502,ANANTAPUR,YELLANUR,-,-,Pennar,Pennar,Chitravathi,-,-,Chitravathi,14.59777778,78.01333333,02-12-2020 08:00,530.9,Clear,Odour free,57.3,27,""
4193,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-04-2017 09:30,551,Clear,odour free,"",32.5,""
4194,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-06-2017 08:30,505,Clear,odour free,"",31.2,""
4195,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-07-2017 03:30,371,Light Brown,odour free,"",26,""
4196,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-08-2017 08:40,493,Light Brown,odour free,"",25,""
4197,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-09-2017 09:00,162,Light Brown,odour free,"",30.4,""
4198,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,03-10-2017 09:00,317,Light Brown,odour free,"",28,""
4199,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-11-2017 09:00,374,Clear,odour free,"",31,""
4200,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-12-2017 08:45,325,Clear,odour free,"",29,""
4201,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-01-2018 08:15,345,Clear,odour free,"","",""
4202,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-02-2018 09:00,410,Clear,odour free,"",24.8,""
4203,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-03-2018 08:25,478,Clear,odour free,"","",""
4204,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-04-2018 08:40,395,Clear,odour free,"",28,""
4205,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-05-2018 09:00,400,Clear,odour free,"",27.2,""
4206,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-06-2018 08:45,485,Light Brown,odour free,"",33.2,""
4207,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-07-2018 08:00,400,Light Brown,odour free,"",29,""
4208,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-08-2018 09:00,270,"","","",25.8,""
4209,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-09-2018 09:00,230,Light Brown,odour free,"",28,""
4210,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-10-2018 09:00,80,Light Brown,odour free,"",25,""
4211,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-11-2018 08:00,110,Clear,odour free,"",28.5,""
4212,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-12-2018 09:00,170,Clear,odour free,"",27.5,""
4213,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-01-2019 08:00,222,Clear,odour free,"",20,""
4214,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-02-2019 08:00,306,Clear,odour free,"",20.5,""
4215,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-03-2019 08:00,490,Clear,odour free,"",25,""
4216,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-04-2019 08:00,256,Clear,odour free,"",27,""
4217,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-05-2019 08:20,489,Clear,odour free,"",37,""
4218,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-06-2019 08:00,510,Light Brown,odour free,"",32,""
4219,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-08-2019 08:19,356,Light Brown,odour free,"",32.1,""
4220,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-10-2019 08:08,223,Light Brown,odour free,"",26.5,""
4221,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-11-2019 08:10,275,Light Brown,odour free,"",32.8,""
4222,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-12-2019 08:36,429,Clear,odour free,"",28.2,""
4223,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-01-2020 08:43,306,Clear,odour free,"",24.8,""
4224,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-02-2020 08:09,250,Clear,odour free,"",27.9,""
4225,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-03-2020 08:21,250,Clear,odour free,"",27,""
4226,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,01-06-2020 09:07,207,Clear,Oder Free,"",26,""
4227,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-07-2020 09:19,125,Clear,Oder Free,"",28.5,""
4228,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,03-08-2020 09:15,7.8,Clear,Oder Free,"",28,""
4229,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-09-2020 09:29,328,Clear,Oder Free,"",30,""
4230,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-10-2020 09:13,123,Clear,Oder Free,"",27.3,""
4231,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-11-2020 09:27,310,Clear,Oder Free,"",28.8,""
4232,Srikakulam,CWC,28,Andhra Pradesh,519,SRIKAKULAM,SRIKAKULAM,-,-,Nagavali,East flowing rivers between Mahanadi and Pennar,-,-,-,Nagavali,18.31333333,83.88416667,02-12-2020 09:15,340,Clear,Oder Free,"",17.5,""
4233,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-1995 08:30,708,"","","",26,""
4234,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-1995 08:00,308,"","","",28,""
4235,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-10-1996 08:00,577,"","","",26,""
4236,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-1996 08:00,451,"","","",26,""
4237,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-1996 08:00,767,"","","",25,""
4238,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-01-1997 08:00,496,"","","",26,""
4239,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-1997 08:00,281,"","","",26.5,""
4240,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-01-1998 08:00,401,"","","",28,""
4241,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-1998 08:00,250,"","","",27,""
4242,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-01-1999 08:00,468,"","","",25,""
4243,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-1999 08:00,249,"","","",26,""
4244,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,02-11-2005 09:00,303,Clear,odour free,"",27,""
4245,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-2005 09:00,264,Clear,odour free,"",26,""
4246,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,02-01-2006 09:00,694,Clear,odour free,"",26,""
4247,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,21-10-2008 08:50,249,Light Brown,odour free,"",27,""
4248,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,17-11-2008 08:40,391,Clear,odour free,"",25,""
4249,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-2008 10:30,184,Clear,odour free,"",27,""
4250,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,06-11-2009 08:50,323,Light Brown,odour free,"",26,""
4251,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,07-12-2009 10:00,404,Brown,odour free,"",28,""
4252,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,29-10-2010 09:20,396,Light Brown,odour free,"",26,""
4253,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-2010 09:00,373,Light Brown,odour free,"",27,""
4254,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,06-12-2010 08:30,461,Light Brown,odour free,"",26,""
4255,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,23-08-2011 08:30,401,Light Brown,odour free,"",29,""
4256,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,28-10-2011 08:30,459,Clear,odour free,"",29,""
4257,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-2011 08:30,561,Clear,odour free,"",28,""
4258,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-2011 09:00,359,Light Brown,odour free,"",28.5,""
4259,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,02-01-2012 08:30,417,Light Brown,odour free,"",27,""
4260,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,04-10-2012 09:30,614,Clear,odour free,"",30,""
4261,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-2012 08:45,321,Light Brown,odour free,"",27,""
4262,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,04-12-2012 09:00,228,Brown,odour free,"",27,""
4263,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-01-2013 08:30,455,Clear,odour free,"",27,""
4264,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,18-02-2013 08:30,558,Clear,odour free,"",28,""
4265,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,08-03-2013 08:30,757,Clear,odour free,"",28,""
4266,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,05-09-2013 08:00,265,Brown,odour free,"",28,""
4267,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,23-10-2013 08:00,494,Clear,odour free,"",29,""
4268,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,05-11-2013 08:45,466,Clear,odour free,"",28,""
4269,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,14-11-2014 08:40,491,Brown,odour free,"",26,""
4270,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,15-12-2014 08:00,540,Brown,odour free,"",30,""
4271,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,11-11-2015 08:45,680,Brown,odour free,"",27,""
4272,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-2015 09:00,220,Brown,odour free,"",25.5,""
4273,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,14-12-2016 08:30,407,Light Brown,odour free,"",25,""
4274,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,31-10-2017 08:00,203,Brown,Odour free,"",25,""
4275,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-2017 08:00,265,Clear,Odour free,"",25,""
4276,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,23-11-2018 08:00,268,"","","","",""
4277,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,23-10-2019 08:00,280,Clear,odour free,"",25,""
4278,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-11-2019 08:00,418,Light Brown,odour free,"",26,""
4279,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,01-12-2019 08:00,285,Brown,odour free,"",25,""
4280,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,08-01-2020 08:00,385,Brown,odour free,"",25,""
4281,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,22-09-2020 08:00,432,Clear,odour free,35.4,28,""
4282,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,20-11-2020 08:00,340,Clear,odour free,36.16,25,""
4283,Sullurpet,CWC,28,Andhra Pradesh,515,NELLORE,SULLURPETA,-,-,Kalingi,East flowing rivers between Pennar and Kanyakumari,-,-,-,Kalingi,13.70777778,80.01000000,02-12-2020 08:00,431,Clear,Odour free,50,25,""
4284,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-09-1995 08:00,747,"","","",25.5,""
4285,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-10-1995 08:00,374,"","","",28,""
4286,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-11-1995 08:00,344,"","","",27.5,""
4287,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-12-1995 08:00,374,"","","",25,""
4288,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-01-1996 08:00,385,"","","",22,""
4289,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-09-1996 08:00,290,"","","",27,""
4290,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-10-1996 08:00,620,"","","",24.2,""
4291,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-11-1996 08:00,785,"","","",24,""
4292,Tadipatri,CWC,28,Andhra Pradesh,502,ANANTAPUR,TADIPATRI,-,-,Pennar,Pennar,-,-,-,Pennar,14.92194444,78.01638889,01-12-1996 08:00,920,"","","",22,""
